"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"Case Folder","I-120000004","Unable to retrieve cardholder contact information from the AP Cardholder Database","Any action that triggers the create new case workflow, cardholder letter generation or create a NRI Fraud Report from the Global Navigation menu will access the web service to retrieve the Cardholder data. While accessing the web service if the invoked service time-out/unable to invoke then VROL will alert the user with a(n) static text (through UI)/informational message (through SI) stating the same."
"Case Folder","I-120000005","Unable to retrieve cardholder contact information from the Prepaid Cardholder Database","Any action that triggers the create new case workflow, cardholder letter generation or create a NRI Fraud Report from the Global Navigation menu will access the web service to retrieve the Cardholder data. While accessing the web service if the invoked service time-out/unable to invoke then VROL will alert the user with a(n) static text (through UI)/informational message (through SI) stating the same."
"Casefolder","I-120000006","Any Cardholder Contact Information updates need to be applied separately in the Prepaid Administration System application.","Any action that triggers the create new case workflow, CHL or create a NRI Fraud Report from the Global Navigation menu will access the web service to retrieve the Cardholder data. If the cardholder data is retrieved from the Prepaid Cardholder Database then VROL will alert the user with a(n) static text (through UI)/informational message (through SI) prompting users to also make any updates via the Prepaid Administration System application."
"Casefolder","I-120000007","For the given card account number, the Prepaid Cardholder Database was accessed but no data was found.","Any action that triggers the create new case workflow, CHL or create a NRI Fraud Report from the Global Navigation menu will access the web service to retrieve the Cardholder data. While accessing the web service if no data is retrieved from Prepaid Cardholder DB then VROL will alert the user with a(n) static text (through UI)/informational message (through SI) stating the same."
"Repre","I-121000069","The representment was created successfully in a case with no prior chargeback.  VROL has linked the case to other case(s) with matching transaction information and which do contain a CB financial or advice.",
"Questionnaire - General","I-121004041","Successfully added a new questionnaire.",
"Questionnaire - General","I-121004042","Existing questionnaire updated successfully.",
"PPCS","I-127104125","No Stop Payment Orders found for supplied Card/Account Number","User has submitted a Stop Payment Inquiry request for a given card/account number.  VROL could not find any Stop Payment Orders for the supplied Card/Account Number."
"System","I-300000000  ","Successfully completed operation.","No action required  "
"HyperSearch ","I-300200000  ","No cases found.  ","Informational only.  HyperSearch did not find any cases matching the specified search parameters.   "
"TI","I-300300000  ","The Transaction Inquiry request needs more time for a response. The request will be processed in an asynchronous mode. Please use the GetTransInquiryResults service with the TI Event ID, or check the ""My/All Pending Transaction Inquiries"" queues through the online application to retrieve the details.","Informational only. Returned when the user has requested synchronous processing, but ROL has determined that the request must be processed asynchronously. "
"TI","I-300300001  ","Asynchronous Request  ","Informational only. Indicates that the user has explicitly requested asynchronous processing by setting the <AsynchronousRequest> element to “true”.   "
"TI","I-300300002  ","The specified case does not contain a Request for Information.  ","Informational only.  Indicates that the user tried to retrieve RFI response information from a case that does not contain a RFI event id.  "
"TI","I-300300004  ","No transactions found for the specified criteria.  ","Informational only.  This is returned in the GetRfiTransactions response message when VTRS has not found any transaction data meeting the specified criteria.  "
"TI","I-300300006  ","Request for Information complete and one or more transactions found.  ","Informational only.  This is returned in the GetRfiTransactions response message when VTRS has finished processing the request for information and has found one or more transactions meeting the specified criteria.  "
"TI","I-300300007  ","TI pending response ","Informational only.  VTRS is still processing the request for information.   "
"TI","I-300300008  ","No transactions found with “Retain and Return” fields.  ","Informational only.  This occurs when the user submits an RFI with “RR” in <FieldsToInclude> element.  The only transactions VTRS finds that match the input criteria are authorization transactions, but ROL does not consider authorization transactions valid for RFI requests that specify  “Retain and Return” fields only.  No transactions are returned for the request.  "
"TI","I-300300024","No matching transactions found","User search ATR which does not return any results"
"VCRFS","I-300400011","A rejected RFC with RFCID: $RFCID$ has been repaired.","ROL used the submitted RFC to repair the existing rejected RFC in the case."
"VCRFS","I-300400012","Found multiple unrepaired RFCs. A rejected RFC with RFCID: $RFCID$ has been repaired.","ROL used the submitted RFC to repair an existing rejected RFC in a case that contained multiple RFC rejects."
"Queues","I-300600000  ","Queue is empty.  ","Informational only.  Indicates that the queue is empty.  "
"Queues","I-300600012","This questionnaire matches multiple advices.  User should select the advice from the VROL UI and match it manually.","( for Queue Format U  and Format Q multi match)

Action - 'View Matches'  -> In the scenario where there is a match, if the Advice matched a single questionnaire that also matched to other Advices, an information message to be displayed."
"Queues","I-300600013","This advice matches multiple questionnaires. User should select the questionnaire from the VROL UI and match it manually.","( for Queue Format Q and Format U multi match)

Action - 'View Matches'  -> In the scenario where there is a match, if the Questionnaire matched a single advice that also matched to another Questionnaire, an information message to be displayed."
"Queues","I-300600014","This item already exists in the case and cannot be added to the case again. Operation failed."," User tries to add an unmatched item to the case although it is already in the case (Action from Potential match) - Format M"
"Queues","I-300600015","The unmatched item is not in a case and therefore cannot be linked.","Scenario - User tries to link a unmatched item to the case although it is not in the particular case.  
Business clarification - to link an item, it must be in a case, hence not in the ""Unmatched items"" queue."
"Queues","I-300600016","There are no matching Questionnaires for this Advice.","User tries to submit ViewPotentialQnMatchesRequest by providing a advice id that does not have any matching questionnaires"
"Queues","I-300600017","There are no matching Advices for this Questionnaire.","User tries to submit ViewPotentialVDASMatchesRequest by providing a VisaCaseNumber that does not have any matching cases (in other words, there are no matching advices for the particular questionnaire)"
"Multiple","I-300600018","QF was received and will be processed asynchronously.  Any exceptions will be available in the online ""All Quick-form Exceptions"" queue.","BulkSI member user submit, submit for review, pend  a QF. Processing report will be sent back to the member confirming the successful reciept of the QF if it passes the initial synchronous validation."
